event_id,source,latitude,longitude,event_date,date_precision,state,rainfall_6h,rainfall_24h,rainfall_72h,rainfall_7d,rainfall_available,elevation,slope,aspect,curvature,terrain_ruggedness,dem_available,landslide,missing_dem,missing_rainfall
1,GSI,24.27,92.5,,none,Assam,,,,,False,,,,,,False,1,True,True
2,GSI,24.31,92.56,,none,Assam,,,,,False,,,,,,False,1,True,True
3,GSI,24.32,92.51,,none,Assam,,,,,False,,,,,,False,1,True,True
4,GSI,24.43,92.55,,none,Assam,,,,,False,,,,,,False,1,True,True
5,GSI,24.44,92.5,,none,Assam,,,,,False,,,,,,False,1,True,True
6,GSI,24.44,92.56,,none,Assam,,,,,False,,,,,,False,1,True,True
7,GSI,24.46,92.52,,none,Assam,,,,,False,,,,,,False,1,True,True
8,GSI,24.478972,92.682861,2016-05-17,day,Assam,,,,,False,,,,,,False,1,True,True
9,GSI,24.48,92.49,,none,Assam,,,,,False,,,,,,False,1,True,True
10,GSI,24.51,92.64,,none,Assam,,,,,False,,,,,,False,1,True,True
11,GSI,24.51,92.75,,none,Assam,,,,,False,,,,,,False,1,True,True
12,GSI,24.51,92.9,,none,Assam,,,,,False,,,,,,False,1,True,True
13,GSI,24.51,92.71,,none,Assam,,,,,False,,,,,,False,1,True,True
14,GSI,24.511306,92.693028,2016-05-18,day,Assam,,,,,False,,,,,,False,1,True,True
15,GSI,24.515944,92.540889,2016-05-18,day,Assam,,,,,False,,,,,,False,1,True,True
16,GSI,24.52,92.53,,none,Assam,,,,,False,,,,,,False,1,True,True
17,GSI,24.53,92.63,,none,Assam,,,,,False,,,,,,False,1,True,True
18,GSI,24.53,92.84,,none,Assam,,,,,False,,,,,,False,1,True,True
19,GSI,24.53,92.84,,none,Assam,,,,,False,,,,,,False,1,True,True
20,GSI,24.54,92.63,,none,Assam,,,,,False,,,,,,False,1,True,True
21,GSI,24.55,92.74,,none,Assam,,,,,False,,,,,,False,1,True,True
22,GSI,24.55,92.75,,none,Assam,,,,,False,,,,,,False,1,True,True
23,GSI,24.55,92.75,,none,Assam,,,,,False,,,,,,False,1,True,True
24,GSI,24.56,92.94,,none,Assam,,,,,False,,,,,,False,1,True,True
25,GSI,24.57025,92.685,2010-04-02,day,Assam,,,,,False,,,,,,False,1,True,True
26,GSI,24.62,92.83,,none,Assam,,,,,False,,,,,,False,1,True,True
27,GSI,24.62,92.84,2019,year,Assam,,,,,False,,,,,,False,1,True,True
28,GSI,24.63,92.74,,none,Assam,,,,,False,,,,,,False,1,True,True
