event_id,source,state,district,slide_name,nh_sh_location,latitude,longitude,coord_valid,coord_issue,coord_collision,event_date,date_precision,history_raw,material_involved,movement_type
GLC_59,GLC,Manipur,,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",,25.3098633,94.48214677,True,,False,2010-07-29,day,downpour,,landslide
GLC_116,GLC,Nagaland,,"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland",,25.7658,93.9413,True,,False,2013-07-17,day,rain,,mudslide
GLC_118,GLC,Nagaland,,"National Highway 2 Near Meriema Village, 10 Km Away From Kohima",,25.7131,94.0885,True,,False,2013-07-17,day,rain,,mudslide
GLC_524,GLC,Manipur,,between Moltuk to New Songjang village,,24.1419,94.1078,True,,False,2015-08-01,day,continuous_rain,,landslide
GLC_570,GLC,Nagaland,,"National Highway 2 Near Phesama Village Close To Kisama Naha Heritage Site, Kohima District, Nagaland",,25.616,94.1167,True,,False,2013-07-12,day,downpour,,landslide
GLC_617,GLC,Nagaland,,"Sahong, Tabu and Pani village under Tadubi police station of Senapati district, NH-39",,25.4769,94.1351,True,,False,2010-10-08,day,downpour,,mudslide
GLC_653,GLC,Assam,,Lumding-Badarpur section in North Cachar Hills district,,25.5215,93.1645,True,,False,2009-08-20,day,downpour,,landslide
GLC_689,GLC,Meghalaya,,"Ishok Chingphu(?), Bishnupur, Assam",,25.8833,91.2,True,,False,2010-06-09,day,downpour,,landslide
GLC_702,GLC,Nagaland,,"NH-39 in Karong area, Manipur",,25.3179,94.0462,True,,False,2010-10-09,day,downpour,,landslide
GLC_713,GLC,Assam,,National Highway 53 at Nungba in Tamenglong district of Manipur,,24.75,93.4333,True,,False,2007-10-21,day,rain,,landslide
GLC_760,GLC,Manipur,,"Ukhrul, Manipur",,25.0985,94.3619,True,,False,2013-09-24,day,unknown,,landslide
GLC_829,GLC,Sikkim,,"Bop, Sikkim",,27.6163,88.6586,True,,False,2015-05-24,day,unknown,,landslide
GLC_869,GLC,Meghalaya,,"Police CID complex(?), Shillong, Meghalaya",,25.5728,91.885,True,,False,2010-06-28,day,downpour,,landslide
GLC_879,GLC,Nagaland,,"Techahan Ward, Mon, Nagaland, India",,26.7223,95.0243,True,,False,2016-04-19,day,continuous_rain,,landslide
GLC_898,GLC,Assam,,The Imphal-Jiribam Section Of Nh-37 In Tamenglong District,,24.7625,93.4341,True,,False,2013-08-17,day,continuous_rain,,landslide
GLC_901,GLC,Arunachal Pradesh,,"Itanagar, Arunachal Pradesh",,27.0987,93.816,True,,False,2015-06-09,day,continuous_rain,,landslide
GLC_920,GLC,Assam,,"Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam",,25.1553,93.028,True,,False,2010-04-01,day,downpour,,landslide
GLC_946,GLC,Mizoram,,Lawngtlai,,22.533,92.899,True,,False,2007-07-30,day,downpour,,landslide
GLC_993,GLC,Assam,," between Harangajao and Mailongdisa, Assa,",,25.1175,92.8573,True,,False,2012-06-03,day,downpour,,landslide
GLC_1023,GLC,Sikkim,,"NH31A, Mile 27 near Rambi",,27.1761,88.5287,True,,False,2009-08-20,day,downpour,,mudslide
GLC_1028,GLC,Mizoram,,"near Tuivawl(?), Aizawl-Champhai rd, Aizawl district, Mizoram",,23.591,92.9296,True,,False,2010-09-13,day,downpour,,landslide
GLC_1051,GLC,Sikkim,,"Pangthang, on road b/t Gangtok and North Sikkim",,27.3383,88.6069,True,,False,2007-05-23,day,rain,,landslide
GLC_1124,GLC,Assam,,"Tamenglong, Manipur",,24.9829,93.5063,True,,False,2013-09-01,day,continuous_rain,,mudslide
GLC_1144,GLC,Assam,,"Portions of NH 39, Connectin Manipur with Assam via Nagaland",,25.5125,93.3613,True,,False,2011-06-29,day,downpour,,landslide
GLC_1167,GLC,Manipur,,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",,25.31006064,94.48265093,True,,False,2010-08-15,day,downpour,,landslide
GLC_1226,GLC,Assam,,"Tamei, Tamenglong district on Imphal-Tamenglong (IT) road",,24.9925,93.5,True,,False,2009-08-20,day,downpour,,landslide
