event_id,state,district,slide_name,nh_sh_location,latitude,longitude,coord_valid,coord_issue,coord_collision,event_date,date_precision,history_raw,material_involved,movement_type,elevation,slope,aspect,curvature,terrain_ruggedness,dem_available,dem_issue
1,Assam,Hailakandi,Kukinala slide,Kukinala,24.27,92.5,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
2,Assam,Hailakandi,Jalnachaura slide,Jalnachaura,24.31,92.56,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
3,Assam,Hailakandi,Nandagram slide,Nandagram Pt. I,24.32,92.51,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
4,Assam,Hailakandi,Nishkar slide,Mahapur,24.43,92.55,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
5,Assam,Karimganj,Paglacherra slide,PaglacherraPunj,24.44,92.5,True,,False,,none,,Rock,Slide,,,,,,False,outside_current_dem_coverage
6,Assam,Hailakandi,Lalpani slide,NH - 154,24.44,92.56,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
7,Assam,Hailakandi,Garapunjislide,Telecherra,24.46,92.52,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
8,Assam,Hailakandi,Terracherra Slide,Terracherra area,24.478972,92.682861,True,,False,2016-05-17,day,17 May 2016,Debris,Slide,,,,,,False,outside_current_dem_coverage
9,Assam,Hailakandi,Maneshwarpur landslide,Maneshwarpur,24.48,92.49,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
10,Assam,Hailakandi,Kurttathal slide,Nunaikhal,24.51,92.64,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
11,Assam,Hailakandi,Dholaikhal slide,Inner Line Reserved Forest,24.51,92.75,True,,False,,none,,Rock,Slide,,,,,,False,outside_current_dem_coverage
12,Assam,Cachar,Bishnupur Puniyar Slide,Bishnupur Puniyar,24.51,92.9,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
13,Assam,Hailakandi,Barthal slide,Bilaipur,24.51,92.71,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
14,Assam,Hailakandi,Lalcherra Slide (Rabinala),"Near Patakhouri Durga Mandir
Under Bilaipur Forest Village;
Lala Police Station",24.511306,92.693028,True,,False,2016-05-18,day,18 May 2016,Debris,Slide,,,,,,False,outside_current_dem_coverage
15,Assam,Hailakandi,Ramchandi (Koyabasti),Ramchandi area,24.515944,92.540889,True,,False,2016-05-18,day,18 May 2016,Earth,Slide,,,,,,False,outside_current_dem_coverage
16,Assam,Hailakandi,Dinanathpur slide,Dinanathpur,24.52,92.53,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
17,Assam,Hailakandi,Lala Chaura Bagan slide,Lala Chaura Bagan,24.53,92.63,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
18,Assam,Cachar,Raj Nagar Slide,Raj Nagar,24.53,92.84,True,,True,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
19,Assam,Cachar,Shymacharanpur slide,Shyamacharanpur,24.53,92.84,True,,True,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
20,Assam,Hailakandi,Nubarnapur slide,Lalamukh village,24.54,92.63,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
21,Assam,Hailakandi,Dwarbond- Bilaipur slide,Dwarbond- Bilaipur road,24.55,92.74,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
22,Assam,Hailakandi,Purbanakshatila slide 1,Purbanakshatila,24.55,92.75,True,,True,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
23,Assam,Hailakandi,Purbanakshatila slide 2,Purbanakshatila,24.55,92.75,True,,True,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
24,Assam,Cachar,Maniarkhal Slide,Maniarkhal Pt VII (Tea estate),24.56,92.94,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
